酸化還元反応の特徴,酸化と還元は一つの反応中で同時に起こる
酸化するとき、酸素原子は得る？失う？,得る
酸化するとき水素原子は得る？失う？,失う
酸化するとき電子は得る？失う？,失う
酸化するとき参加数は増える？減る？,増える
還元剤は酸化するもの？還元するもの？,酸化するもの
酸化剤は酸化するもの？還元するもの？,還元するもの
2Cu+O2->2CuOの時、Cuは酸化？還元？,酸化
2H2S+O2->2S+2H2Oのとき、2H2Sは酸化？還元？,酸化
酸化数とは？,物質中の原子の酸化の程度を表す数値
酸化数の書き方,算用数字に必ず＋−をつける
e-を失い酸化された原子→,酸化数増加、還元剤
e-を得て還元された原子→,酸化数減少、酸化剤
単体の酸化数,0
単原子イオンの酸化数,電価
化合物中の単原子イオンの酸化数,電価
単原子イオンの酸化数の例外,水素化物（Hが?1）、過酸化物（Oが?1）
化合物中の酸化数の総和,0
半反応式とは？,酸化剤、還元剤それぞれのe-を含むイオン式
半反応式を組み合わせると？,酸化還元反応式になる
半反応式を作る手順,酸化数が変わる部分を書く、O原子数をH2Oを加えて調整、H原子数をH+を加え調整、電気量をe-を加え調整
酸化剤・還元剤の強さは？,還元力が強い、酸化力が強い（還元されてe-をもらいやすい）
還元力の強い順,F-<Cl-<Br-<I-
酸化力の強い順,F2>Cl2>Br>I2
酸化還元滴定とは,既知濃度の酸化剤で未知濃度の還元剤の濃度を求める操作
酸化還元滴定の計算方法,酸化剤が得るe-の物質量mol=還元剤が失うe-の物質量mol
酸化還元滴定の計算式,酸化剤の得るe-の数*濃度*体積=還元剤が失うe-の数*濃度*体積
金属のイオン化傾向,水溶液中で金属が酸化されて陽イオンになる性質の強さ
金属のイオン化傾向を比べる方法,金属の標準電極電位で比較
金属のイオン化傾向がA>Bの、A＋Bイオンを化合させると,Aイオン＋B
水と反応する物質群,"Li,K,Ca,Na"
熱水と反応する物質群,Mg
水蒸気と反応する物質群,"Al,Zn,Fe"
酸と反応する物質群,"Ni,Sn,Pb,H2"
酸化力の強い酸と反応する物質群,"Cu,Hg,Ag"
王水と反応する物質群,"Pt,Au"
金属原子をイオン化傾向が強い順に,"Li,K,Ca,Na,Mg,Al,Zn,Fe,Ni,Sn,Pb,H2,Cu,Hg,Ag,Pt,Au"
空気との反応,Li~Naまで＋Mg~Cu（徐々に酸化）
半反応式：O2,H2O
半反応式：O3,O2
半反応式：Cl2,Cl-
半反応式：F2,F-
半反応式：I2,I-
半反応式：HNO3(濃い),NO2
半反応式：HNO3(薄い),NO2
半反応式：H2SO4,SO2
半反応式：Cr2O72-,Cr3+
半反応式：(MnO4)-,(Mn)2+
半反応式：MnO2,(Mn)2+
半反応式：ClO-,Cl-
半反応式：H2,H+
半反応式：Cl-,Cl2
半反応式：I-,I2
半反応式：H2S,S
半反応式：Fe2+,Fe3+
半反応式：C2O42-,CO2
半反応式：H2C2O4,CO2
半反応式：S2O32-,S4O62-
半反応式：H2O2,"H2O,O2"
半反応式：SO2,"S,SO42-"
酸化数を書くときに注意しないといけない事,+-を必ずつける
酸化数の決め方,"単体は0、単原子は電価、化合物中の水素は+1,酸素は-2（例外あり）、化合物中の原子の酸化数の総和は0"
酸化還元反応式の作り方,酸化剤と還元剤の半反応式を書く、e-を消去するように頑張って足し合わせる。最後に必要なイオンを足して完成
イオン化傾向が大きくなると強くなるもの,還元力が強い、酸化力が強い（還元されてe-をもらいやすい）
イオン化傾向とは？,陽イオンへのなりやすさ
王水の作り方,HNO3+3*HCl
NH3 aqの試薬としての役割,銅(II)イオンと混ざると青くなる
CuSO4+Zn,Cuが還元される
ZnSO4+Cu,何も起こらない
AgNO3+Cu,Agが還元される
CuSO4+ZnでCuが還元されるのはなぜ？,Znのほうがイオン化傾向が強いから
ヘキサシアニド鉄（3）カリウム水溶液の試薬の役割,鉄のイオンを検出すると濃い青になる
ヘキサシアニド鉄（3）カリウム水溶液の応用例,ルミノールみたいなの
セロトニンの役割,精神を安定させる。ほかホルモンの情報を適度に抑える
ドーパミン,喜びや快楽を伝える。報酬系に関わる。
ノルアドレナリン,恐怖や驚き、興奮を伝える。ストレスを感じると放出され、交感神経を活発にする
電気分解とは,水溶液や誘拐駅に直流電流っをかけ、酸化還元反応を起こす操作
電気分解、陽極での反応,酸化反応、電極が金属イオンになり、ハゲロン化物が単体になり、酸素が発生する
陰極での反応,還元反応、イオン化傾向がH2より小さい金属イオンは探偵で析出、水素が発生する
ファラデーの法則,電解質において、変化する物質の物質量は、流れた電気量に比例
電解を利用するもの,高純度の銅の精錬
負極で還元剤として働く物質,負極活物質
